Site,Spp,Sample,Wt_F,ETR_F_A,ETR_F_max,Wt_DES,ETR_DES_A,ETR_DES_max,Wt_F2,ETR_F2_A,ETR_F2_max,Wt_DRY
1,M,1,9.704,0.135,66.586,3.489,0.021,11.261,9.687,0.125,60.031,2.696
1,M,2,4.111,0.185,53.268,1.829,0.004,50.72,4.245,0.16,71.355,1.587
1,M,3,2.172,0.176,32.666,0.977,0.02,16.83,1.996,0.107,69.243,0.582
1,M,4,4.25,0.106,41.521,1.475,0.023,18.435,4.021,0.142,76.153,1.243
1,M,5,2.741,0.13,63.219,0.694,0.031,21.808,2.54,0.147,60.774,0.528
2,M,1,2.776,0.142,49.67,0.83,0.01,2.178,2.762,0.125,64.723,0.54
2,M,2,2.956,0.133,42.338,0.938,0.031,4.93,2.941,0.131,37.578,0.768
2,M,3,4.286,0.183,70.463,1.218,0.023,4.798,4.274,0.138,65.655,0.843
2,M,4,2.787,0.166,75.714,0.886,0.012,4.015,2.716,0.103,37.164,0.493
2,M,5,2.212,0.133,65.424,0.708,0.01,4.781,2.221,0.191,46.314,0.486
3,M,1,2.416,0.115,44.756,0.831,0.01,4.781,2.405,0.138,46.746,0.423
3,M,2,3.373,0.109,67.352,1.195,0.018,12.704,3.38,0.104,70.532,0.673
3,M,3,2.82,0.158,66.978,0.947,0.016,6.899,2.812,0.185,61.893,0.512
3,M,4,3.332,0.147,70.514,1.08,0.019,3.391,3.328,0.136,64.514,0.563
3,M,5,2.406,0.16,58.193,0.805,0.011,6.712,2.408,0.123,55.379,0.434
1,P,1,2.063,0.161,72.523,0.651,0.011,2.775,2.062,0.17,71.581,0.506
1,P,2,1.233,0.176,52.948,0.458,0.015,6.306,1.04,0.138,83.108,0.307
1,P,3,0.72,0.138,39.644,0.227,0.015,16.975,0.705,0.125,34.756,0.187
1,P,4,0.533,0.147,74.34,0.179,0.02,10,0.492,0.151,64.235,0.141
1,P,5,0.787,0.161,67.472,0.245,0.03,19.782,0.759,0.121,48.679,0.2
2,P,1,0.81,0.149,42.693,0.237,0.013,18.075,0.785,0.136,37.894,0.149
2,P,2,0.957,0.167,73.948,0.398,0.018,16.306,0.956,0.149,72.108,0.249
2,P,3,0.677,0.173,67.486,0.187,0.036,9.867,0.669,0.129,46.253,0.151
2,P,4,0.957,0.159,74.374,0.276,0.029,9.732,0.959,0.155,64.769,0.258
2,P,5,1.586,0.167,72.523,0.553,0.014,4.752,1.526,0.157,63.695,0.473
3,P,1,1.738,0.161,72.523,0.491,0.011,2.775,1.736,0.147,69.831,0.486
3,P,2,2.147,0.184,65.523,0.651,0.021,2.775,2.062,0.133,71.581,0.506
3,P,3,0.847,0.172,62.284,0.259,0.026,8.293,0.839,0.142,58.679,0.231
3,P,4,0.787,0.161,67.472,0.245,0.03,19.782,0.759,0.121,48.679,0.2
3,P,5,0.833,0.178,69.473,0.247,0.01,4.32,0.822,0.155,64.235,0.221
