Column_Name,Type,Definition,,,,,,,,,,,,,,,,,,,,,,,
Site,,location where measurements were taken,,,,,,,,,,,,,,,,,,,,,,,
Pair ,,matched limpets,,,,,,,,,,,,,,,,,,,,,,,
Treatment,,conditions of bare versus algae on L.gigantea shell,,,,,,,,,,,,,,,,,,,,,,,
TempC,,temperature of L.gigantea shell,,,,,,,,,,,,,,,,,,,,,,,
Date,,the day the measurements were taken,,,,,,,,,,,,,,,,,,,,,,,
Session,,number of times individual limpet had its temperature taken,,,,,,,,,,,,,,,,,,,,,,,
Size_mm,,Size of L.gigantea,,,,,,,,,,,,,,,,,,,,,,,
PreferredAngle,,angle of the rock L.gigantea were on,,,,,,,,,,,,,,,,,,,,,,,
RockDirection,,direction rock L.gigantea were on  ,,,,,,,,,,,,,,,,,,,,,,,
Riders,,number of L.scabra atop L.gigantea,,,,,,,,,,,,,,,,,,,,,,,
AirTemp,,air temperature for that day and time,,,,,,,,,,,,,,,,,,,,,,,
Solar,,solar irradiance measure recorded from weather station at Cabrillo Point,,,,,,,,,,,,,,,,,,,,,,,
Wind,,wind speed recorded from Nationa Buoy Data Center - 46092 for day and time,,,,,,,,,,,,,,,,,,,,,,,
Time,,time of day measurements were recorded,,,,,,,,,,,,,,,,,,,,,,,
