quadrat_length_m,anemones_per_quadrat,anemone_ID,submersion_stat,crevice,shell_cover_percent,anemone_diameter_mm,anemone_diameter_m,shell_ID,force_g,force_N,shell_length_mm,shell_width_mm,shell_area_m_sq,tenacity_Pa
9,1,A,S,C,<25,106,0.106,1,320,3.136,6.3,3.1,1.53388E-05,204448.5004
9,1,A,S,C,<25,106,0.106,2,280,2.744,3.1,3.05,7.42594E-06,369515.5273
9,1,A,S,C,<25,106,0.106,3,140,1.372,10,6.3,4.94801E-05,27728.32786
9,1,A,S,C,<25,106,0.106,4,240,2.352,8.8,4.1,2.83372E-05,83000.53795
9,1,A,S,C,<25,106,0.106,5,20,0.196,8.55,6.1,4.09624E-05,4784.871072
20.5,1,B,E,C,>25,58,0.058,6,0,0,5.7,4.9,2.19362E-05,0
20.5,1,B,E,C,>25,58,0.058,7,0,0,4.6,2.05,7.4063E-06,0
20.5,1,B,E,C,>25,58,0.058,8,60,0.588,4.5,4,1.41372E-05,41592.49179
20.5,1,B,E,C,>25,58,0.058,9,220,2.156,12.4,7.05,6.86595E-05,31401.33217
20.5,1,B,E,C,>25,58,0.058,10,20,0.196,2.4,1.2,2.26195E-06,86651.02457
15,1,C,E,N,>50,57,0.057,11,20,0.196,6.95,3.65,1.99236E-05,9837.585524
15,1,C,E,N,>50,57,0.057,12,40,0.392,8.55,3.7,2.48461E-05,15777.14245
15,1,C,E,N,>50,57,0.057,13,20,0.196,6.9,6.9,3.73928E-05,5241.64988
15,1,C,E,N,>50,57,0.057,14,140,1.372,9.1,4,2.85885E-05,47991.33669
15,1,C,E,N,>50,57,0.057,15,100,0.98,4,1.4,4.39823E-06,222816.9203
28,1,D,E,C,>50,79.5,0.0795,16,100,0.98,6.8,2.2,1.17496E-05,83407.40333
28,1,D,E,C,>50,79.5,0.0795,17,40,0.392,10.95,4.05,3.48304E-05,11254.52171
28,1,D,E,C,>50,79.5,0.0795,18,160,1.568,15.6,3.2,3.92071E-05,39992.78057
28,1,D,E,C,>50,79.5,0.0795,19,60,0.588,9.55,4.5,3.37525E-05,17420.93897
28,1,D,E,C,>50,79.5,0.0795,20,50,0.49,3.4,3,8.01106E-06,61165.42911
14,1,E,E,N,>75,73.9,0.0739,21,60,0.588,16.2,1.15,1.4632E-05,40185.98241
14,1,E,E,N,>75,73.9,0.0739,22,80,0.784,4.75,3.2,1.19381E-05,65672.35547
14,1,E,E,N,>75,73.9,0.0739,23,180,1.764,9.7,8.65,6.58988E-05,26768.30412
14,1,E,E,N,>75,73.9,0.0739,24,80,0.784,9.1,7.05,5.03872E-05,15559.50126
14,1,E,E,N,>75,73.9,0.0739,25,120,1.176,10,1.2,9.42478E-06,124777.4754
3,4,F,E,C,<25,100.5,0.1005,26,20,0.196,11,6.05,5.22682E-05,3749.886563
3,4,F,E,C,<25,100.5,0.1005,27,60,0.588,21.6,12.3,0.000208665,2817.919498
3,4,F,E,C,<25,100.5,0.1005,28,340,3.332,9.5,9.1,6.78977E-05,49073.84804
3,4,F,E,C,<25,100.5,0.1005,29,220,2.156,9.4,3.7,2.73161E-05,78927.67276
3,4,F,E,C,<25,100.5,0.1005,30,320,3.136,16,15.05,0.000189124,16581.7243
3,4,G,E,C,<25,85,0.085,31,100,0.98,8,3.1,1.94779E-05,50313.49814
3,4,G,E,C,<25,85,0.085,32,40,0.392,5.3,3.65,1.51935E-05,25800.46015
3,4,G,E,C,<25,85,0.085,33,160,1.568,31.2,10.65,0.000260972,6008.305062
3,4,G,E,C,<25,85,0.085,34,220,2.156,6.7,5,2.63108E-05,81943.41667
3,4,G,E,C,<25,85,0.085,35,60,0.588,4.1,2.4,7.72832E-06,76083.82645
3,4,H,S,C,<50,40.06,0.04006,36,100,0.98,7.1,13,7.24923E-05,13518.68639
3,4,H,S,C,<50,40.06,0.04006,37,20,0.196,3.15,2.05,5.07171E-06,38645.75312
3,4,H,S,C,<50,40.06,0.04006,38,80,0.784,6.3,6.05,2.99355E-05,26189.68393
3,4,H,S,C,<50,40.06,0.04006,39,70,0.686,7.1,10.2,5.68785E-05,12060.78884
3,4,H,S,C,<50,40.06,0.04006,40,20,0.196,19.4,5.3,8.07546E-05,2427.105143
