ID #,Size_cm,Date,n_zoox,n_zooch
E1,7,5/27/19,456,0
E1,7,5/27/19,86,0
E1,7,5/27/19,0,0
E2,12,5/27/19,46,0
E2,12,5/27/19,109,0
E2,12,5/27/19,345,0
E3,10,5/27/19,573,0
E3,10,5/27/19,0,0
E3,10,5/27/19,0,0
E4,13,5/27/19,765,0
E4,13,5/27/19,236,0
E4,13,5/27/19,197,0
E5,10,5/27/19,0,0
E5,10,5/27/19,0,0
E5,10,5/27/19,0,0
E6,15,5/27/19,398,0
E6,15,5/27/19,0,0
E6,15,5/27/19,0,0
S1,15,5/27/19,332,0
S1,15,5/27/19,30,47
S1,15,5/27/19,0,0
S2,12,5/27/19,610,0
S2,12,5/27/19,64,0
S2,12,5/27/19,47,0
S3,13,5/27/19,733,0
S3,13,5/27/19,533,0
S3,13,5/27/19,145,0
S4,8,5/27/19,202,50
S4,8,5/27/19,542,0
S4,8,5/27/19,0,0
