obs_id,pool_area_cm2,pool_area_m2,connectivity,average_distance,tidal_height,disperal,species_count,N,E
1,3600,0.36,0.120919986,8.269931483,-6.451,1.157402474,5,-39.091,-26.821
2,2800,0.28,0.108928606,9.180324979,-6.515,0.727190172,7,-40.153,-25.104
3,1550,0.155,0.122015951,8.195649781,-6.723,0.502784964,7,-38.289,-24.766
4,21500,2.15,0.137346491,7.280855853,-6.846,8.796159558,7,-36.708,-26.42
5,2600,0.26,0.133266831,7.503742637,-6.696,0.996850192,5,-35.628,-24.682
6,15100,1.51,0.119074229,8.398122848,-6.798,4.600536664,9,-36.355,-22.849
7,1850,0.185,0.095287184,10.49459078,-6.58,0.359261672,8,-34.372,-19.332
8,5400,0.54,0.079269359,12.61521488,-6.711,0.722336094,7,-35.682,-16.667
9,4200,0.42,0.080068546,12.4892989,-6.492,0.570509835,4,-38.716,-17.686
10,6300,0.63,0.130496941,7.663014866,-6.21,2.262437581,6,-36.202,-31.799
11,10700,1.07,0.13701527,7.298456612,-6.25,4.215923988,8,-30.556,-33.169
12,3500,0.35,0.115497412,8.658202657,-6.279,0.975235293,6,-32.104,-35.818
13,1400,0.14,0.140692519,7.107698442,-6.267,0.576079945,6,-30.042,-31.919
14,850,0.085,0.111021828,9.007237779,-5.905,0.21674754,6,-30.136,-36.109
15,700,0.07,0.11348205,8.811966327,-5.933,0.185595115,8,-29.414,-35.538
16,2100,0.21,0.115161425,8.683463264,-6.042,0.570601511,5,-27.452,-33.458
17,1400,0.14,0.108965223,9.177239959,-6.077,0.338905398,5,-26.282,-32.215
18,1500,0.15,0.120412418,8.304791293,-6.099,0.441238145,5,-27.574,-32.375
19,20400,2.04,0.144697431,6.910972753,-6.355,8.622736245,8,-32.749,-32.203
20,1350,0.135,0.148492194,6.734360709,-6.212,0.597967691,3,-31.357,-30.72
BM,NA,NA,NA,NA,NA,NA,NA,-57.184,41.616
