site,anthopleura_sola,anthopleura_elegantissima,pagarus_spp,chlorostoma_funebralis,chlorostoma_brunnea,acanthinucella_punctulata,calliostoma_ligatum,mytilus_californianus,clinocottus_analis,fissurella_volcano,pachygrapus_crassipes,chthamalus_spp,cyanoplax_hartwegii,tetraclita_rubescens,lottia_gigantea,total_species
1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,5
2,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,7
3,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,7
4,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,7
5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5
6,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,9
7,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,8
8,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,7
9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4
10,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,6
11,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,8
12,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,6
13,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,6
14,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,6
15,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,8
16,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,5
17,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,5
18,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,5
19,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,8
20,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
